05-12-2018_18:27:38	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	969	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:27:43	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:27:43	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	940	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:35:16	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
05-12-2018_18:35:16	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	3.0	22.0	
tiempo	718	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:36:40	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:36:40	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1061	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:36:47	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:36:47	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1047	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:37:39	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:37:39	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1038	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:38:13	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:38:13	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1100	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:39:32	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:39:32	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1076	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:39:56	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:39:56	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1044	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
05-12-2018_18:41:44	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
05-12-2018_18:41:44	null	0.75	0.52	0.5	2.0	10.0	true	1000.0	[sphere, ackley]	1.0	5.0	22.0	
tiempo	1181	milis

date	objectiveFunction	maxPar	minPar	hmcr	size	seed	log	maxImprovisations	objectiveFunctions	threads	nExp	hms	
